182862: done 220 games, mean reward -20.950, eps 0.02, speed 18.84 f/s
183705: done 221 games, mean reward -20.950, eps 0.02, speed 18.74 f/s
184467: done 222 games, mean reward -20.950, eps 0.02, speed 18.68 f/s
185289: done 223 games, mean reward -20.950, eps 0.02, speed 18.73 f/s
186051: done 224 games, mean reward -20.950, eps 0.02, speed 18.70 f/s
186891: done 225 games, mean reward -20.940, eps 0.02, speed 18.77 f/s
187713: done 226 games, mean reward -20.940, eps 0.02, speed 18.74 f/s
188686: done 227 games, mean reward -20.940, eps 0.02, speed 18.73 f/s
189448: done 228 games, mean reward -20.940, eps 0.02, speed 18.71 f/s
190300: done 229 games, mean reward -20.940, eps 0.02, speed 18.69 f/s
191062: done 230 games, mean reward -20.940, eps 0.02, speed 18.72 f/s
191884: done 231 games, mean reward -20.940, eps 0.02, speed 18.74 f/s
192706: done 232 games, mean reward -20.940, eps 0.02, speed 18.69 f/s
193468: done 233 games, mean reward -20.940, eps 0.02, speed 18.72 f/s
194352: done 234 games, mean reward -20.940, eps 0.02, speed 18.72 f/s
195114: done 235 games, mean reward -20.950, eps 0.02, speed 18.74 f/s
195937: done 236 games, mean reward -20.950, eps 0.02, speed 18.66 f/s
196760: done 237 games, mean reward -20.950, eps 0.02, speed 18.69 f/s
197522: done 238 games, mean reward -20.950, eps 0.02, speed 18.81 f/s
198312: done 239 games, mean reward -20.950, eps 0.02, speed 18.70 f/s
199074: done 240 games, mean reward -20.950, eps 0.02, speed 18.80 f/s
199892: done 241 games, mean reward -20.950, eps 0.02, speed 18.82 f/s
200716: done 242 games, mean reward -20.950, eps 0.02, speed 18.79 f/s
201478: done 243 games, mean reward -20.950, eps 0.02, speed 18.76 f/s
202240: done 244 games, mean reward -20.950, eps 0.02, speed 18.83 f/s
203082: done 245 games, mean reward -20.950, eps 0.02, speed 18.78 f/s
203844: done 246 games, mean reward -20.950, eps 0.02, speed 18.80 f/s
204624: done 247 games, mean reward -20.950, eps 0.02, speed 18.84 f/s
205386: done 248 games, mean reward -20.950, eps 0.02, speed 18.87 f/s
206208: done 249 games, mean reward -20.950, eps 0.02, speed 18.75 f/s
206970: done 250 games, mean reward -20.950, eps 0.02, speed 18.82 f/s
207796: done 251 games, mean reward -20.950, eps 0.02, speed 18.82 f/s
208558: done 252 games, mean reward -20.950, eps 0.02, speed 18.76 f/s
209320: done 253 games, mean reward -20.960, eps 0.02, speed 18.80 f/s
210082: done 254 games, mean reward -20.960, eps 0.02, speed 18.60 f/s
210891: done 255 games, mean reward -20.960, eps 0.02, speed 18.78 f/s
211653: done 256 games, mean reward -20.970, eps 0.02, speed 18.74 f/s
212475: done 257 games, mean reward -20.970, eps 0.02, speed 18.70 f/s
213325: done 258 games, mean reward -20.970, eps 0.02, speed 18.73 f/s
214087: done 259 games, mean reward -20.970, eps 0.02, speed 18.85 f/s
214849: done 260 games, mean reward -20.970, eps 0.02, speed 18.82 f/s
215611: done 261 games, mean reward -20.970, eps 0.02, speed 18.71 f/s
216401: done 262 games, mean reward -20.970, eps 0.02, speed 18.78 f/s
217163: done 263 games, mean reward -20.970, eps 0.02, speed 18.78 f/s
217925: done 264 games, mean reward -20.970, eps 0.02, speed 18.71 f/s
218687: done 265 games, mean reward -20.970, eps 0.02, speed 18.75 f/s
219449: done 266 games, mean reward -20.970, eps 0.02, speed 18.80 f/s
220211: done 267 games, mean reward -20.980, eps 0.02, speed 18.73 f/s
220973: done 268 games, mean reward -20.980, eps 0.02, speed 18.79 f/s
221855: done 269 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
222617: done 270 games, mean reward -20.980, eps 0.02, speed 18.76 f/s
223439: done 271 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
224201: done 272 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
224963: done 273 games, mean reward -20.980, eps 0.02, speed 18.71 f/s
225725: done 274 games, mean reward -20.980, eps 0.02, speed 18.77 f/s
226487: done 275 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
227309: done 276 games, mean reward -20.980, eps 0.02, speed 18.77 f/s
228071: done 277 games, mean reward -20.980, eps 0.02, speed 18.73 f/s
228861: done 278 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
229623: done 279 games, mean reward -20.980, eps 0.02, speed 18.87 f/s
230473: done 280 games, mean reward -20.980, eps 0.02, speed 18.83 f/s
231235: done 281 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
231997: done 282 games, mean reward -20.980, eps 0.02, speed 18.87 f/s
232759: done 283 games, mean reward -20.980, eps 0.02, speed 18.91 f/s
233521: done 284 games, mean reward -20.980, eps 0.02, speed 18.87 f/s
234283: done 285 games, mean reward -20.980, eps 0.02, speed 18.72 f/s
235045: done 286 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
235807: done 287 games, mean reward -20.980, eps 0.02, speed 18.93 f/s
236569: done 288 games, mean reward -20.980, eps 0.02, speed 18.92 f/s
237331: done 289 games, mean reward -20.980, eps 0.02, speed 18.84 f/s
238112: done 290 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
238934: done 291 games, mean reward -20.980, eps 0.02, speed 18.82 f/s
239724: done 292 games, mean reward -20.980, eps 0.02, speed 18.83 f/s
240574: done 293 games, mean reward -20.980, eps 0.02, speed 18.83 f/s
241336: done 294 games, mean reward -20.980, eps 0.02, speed 18.79 f/s
242216: done 295 games, mean reward -20.990, eps 0.02, speed 18.83 f/s
243040: done 296 games, mean reward -20.990, eps 0.02, speed 18.74 f/s
243863: done 297 games, mean reward -20.990, eps 0.02, speed 18.82 f/s
244643: done 298 games, mean reward -20.990, eps 0.02, speed 18.80 f/s
245405: done 299 games, mean reward -20.990, eps 0.02, speed 18.90 f/s
246167: done 300 games, mean reward -20.990, eps 0.02, speed 18.89 f/s
246957: done 301 games, mean reward -20.990, eps 0.02, speed 18.80 f/s
247719: done 302 games, mean reward -20.990, eps 0.02, speed 18.79 f/s
248481: done 303 games, mean reward -20.990, eps 0.02, speed 18.79 f/s
249243: done 304 games, mean reward -20.990, eps 0.02, speed 18.89 f/s
250005: done 305 games, mean reward -20.990, eps 0.02, speed 18.82 f/s
250827: done 306 games, mean reward -20.990, eps 0.02, speed 18.87 f/s
251617: done 307 games, mean reward -20.990, eps 0.02, speed 18.94 f/s
252439: done 308 games, mean reward -20.990, eps 0.02, speed 18.96 f/s
253229: done 309 games, mean reward -20.990, eps 0.02, speed 19.00 f/s
254019: done 310 games, mean reward -20.990, eps 0.02, speed 18.89 f/s
254809: done 311 games, mean reward -20.990, eps 0.02, speed 18.92 f/s
255617: done 312 games, mean reward -20.990, eps 0.02, speed 18.81 f/s
256439: done 313 games, mean reward -20.990, eps 0.02, speed 18.95 f/s
257201: done 314 games, mean reward -20.990, eps 0.02, speed 18.96 f/s
258024: done 315 games, mean reward -20.990, eps 0.02, speed 18.87 f/s
258814: done 316 games, mean reward -20.990, eps 0.02, speed 18.96 f/s
259576: done 317 games, mean reward -20.990, eps 0.02, speed 18.93 f/s
260398: done 318 games, mean reward -20.990, eps 0.02, speed 19.03 f/s
261280: done 319 games, mean reward -20.990, eps 0.02, speed 18.96 f/s
262042: done 320 games, mean reward -20.990, eps 0.02, speed 18.91 f/s
262804: done 321 games, mean reward -20.990, eps 0.02, speed 18.99 f/s
263566: done 322 games, mean reward -20.990, eps 0.02, speed 18.91 f/s
264328: done 323 games, mean reward -20.990, eps 0.02, speed 19.03 f/s
265212: done 324 games, mean reward -20.990, eps 0.02, speed 18.97 f/s
266036: done 325 games, mean reward -21.000, eps 0.02, speed 18.93 f/s
266798: done 326 games, mean reward -21.000, eps 0.02, speed 18.96 f/s
267622: done 327 games, mean reward -21.000, eps 0.02, speed 18.95 f/s
268446: done 328 games, mean reward -21.000, eps 0.02, speed 18.95 f/s
269208: done 329 games, mean reward -21.000, eps 0.02, speed 18.91 f/s
270048: done 330 games, mean reward -21.000, eps 0.02, speed 19.01 f/s
270810: done 331 games, mean reward -21.000, eps 0.02, speed 18.99 f/s
271634: done 332 games, mean reward -21.000, eps 0.02, speed 19.01 f/s
272396: done 333 games, mean reward -21.000, eps 0.02, speed 19.02 f/s
273218: done 334 games, mean reward -21.000, eps 0.02, speed 19.02 f/s
273980: done 335 games, mean reward -21.000, eps 0.02, speed 18.87 f/s
274802: done 336 games, mean reward -21.000, eps 0.02, speed 19.03 f/s
275684: done 337 games, mean reward -21.000, eps 0.02, speed 19.00 f/s
276493: done 338 games, mean reward -21.000, eps 0.02, speed 19.00 f/s
277315: done 339 games, mean reward -21.000, eps 0.02, speed 19.05 f/s
278077: done 340 games, mean reward -21.000, eps 0.02, speed 19.03 f/s
278966: done 341 games, mean reward -21.000, eps 0.02, speed 18.97 f/s
279728: done 342 games, mean reward -21.000, eps 0.02, speed 18.95 f/s
280490: done 343 games, mean reward -21.000, eps 0.02, speed 18.90 f/s
281280: done 344 games, mean reward -21.000, eps 0.02, speed 18.98 f/s
282042: done 345 games, mean reward -21.000, eps 0.02, speed 19.09 f/s
282804: done 346 games, mean reward -21.000, eps 0.02, speed 19.16 f/s
283566: done 347 games, mean reward -21.000, eps 0.02, speed 18.91 f/s
284356: done 348 games, mean reward -21.000, eps 0.02, speed 18.92 f/s
285192: done 349 games, mean reward -20.990, eps 0.02, speed 19.01 f/s
285954: done 350 games, mean reward -20.990, eps 0.02, speed 19.01 f/s
286776: done 351 games, mean reward -20.990, eps 0.02, speed 19.15 f/s
287538: done 352 games, mean reward -20.990, eps 0.02, speed 18.92 f/s
288300: done 353 games, mean reward -20.990, eps 0.02, speed 19.07 f/s
289122: done 354 games, mean reward -20.990, eps 0.02, speed 19.02 f/s
289902: done 355 games, mean reward -20.990, eps 0.02, speed 18.95 f/s
290724: done 356 games, mean reward -20.990, eps 0.02, speed 19.02 f/s
291546: done 357 games, mean reward -20.990, eps 0.02, speed 19.01 f/s
292396: done 358 games, mean reward -20.990, eps 0.02, speed 18.89 f/s
293280: done 359 games, mean reward -20.990, eps 0.02, speed 19.01 f/s
294102: done 360 games, mean reward -20.990, eps 0.02, speed 18.98 f/s
294924: done 361 games, mean reward -20.990, eps 0.02, speed 19.09 f/s
295686: done 362 games, mean reward -20.990, eps 0.02, speed 18.93 f/s
296448: done 363 games, mean reward -20.990, eps 0.02, speed 18.91 f/s
297229: done 364 games, mean reward -20.990, eps 0.02, speed 18.98 f/s
298080: done 365 games, mean reward -20.990, eps 0.02, speed 18.95 f/s
298930: done 366 games, mean reward -20.990, eps 0.02, speed 18.95 f/s
299692: done 367 games, mean reward -20.990, eps 0.02, speed 18.94 f/s
300454: done 368 games, mean reward -20.990, eps 0.02, speed 18.98 f/s
301294: done 369 games, mean reward -20.980, eps 0.02, speed 18.99 f/s
302117: done 370 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
302879: done 371 games, mean reward -20.980, eps 0.02, speed 18.97 f/s
303701: done 372 games, mean reward -20.980, eps 0.02, speed 18.98 f/s
304463: done 373 games, mean reward -20.980, eps 0.02, speed 18.97 f/s
305285: done 374 games, mean reward -20.980, eps 0.02, speed 19.01 f/s
306107: done 375 games, mean reward -20.980, eps 0.02, speed 18.91 f/s
306869: done 376 games, mean reward -20.980, eps 0.02, speed 18.92 f/s
307692: done 377 games, mean reward -20.980, eps 0.02, speed 18.98 f/s
308454: done 378 games, mean reward -20.980, eps 0.02, speed 19.02 f/s
309295: done 379 games, mean reward -20.980, eps 0.02, speed 18.96 f/s
310119: done 380 games, mean reward -20.980, eps 0.02, speed 18.95 f/s
310980: done 381 games, mean reward -20.980, eps 0.02, speed 18.97 f/s
311742: done 382 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
312504: done 383 games, mean reward -20.980, eps 0.02, speed 18.93 f/s
313327: done 384 games, mean reward -20.980, eps 0.02, speed 18.92 f/s
314151: done 385 games, mean reward -20.980, eps 0.02, speed 18.92 f/s
314913: done 386 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
315703: done 387 games, mean reward -20.980, eps 0.02, speed 18.96 f/s
316465: done 388 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
317255: done 389 games, mean reward -20.980, eps 0.02, speed 18.86 f/s
318017: done 390 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
318779: done 391 games, mean reward -20.980, eps 0.02, speed 18.94 f/s
319588: done 392 games, mean reward -20.980, eps 0.02, speed 18.95 f/s
320350: done 393 games, mean reward -20.980, eps 0.02, speed 18.91 f/s
321112: done 394 games, mean reward -20.980, eps 0.02, speed 19.00 f/s
321874: done 395 games, mean reward -20.980, eps 0.02, speed 18.81 f/s
322636: done 396 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
323478: done 397 games, mean reward -20.980, eps 0.02, speed 18.96 f/s
324240: done 398 games, mean reward -20.980, eps 0.02, speed 18.88 f/s
325185: done 399 games, mean reward -20.980, eps 0.02, speed 18.86 f/s
326086: done 400 games, mean reward -20.980, eps 0.02, speed 18.95 f/s
326848: done 401 games, mean reward -20.980, eps 0.02, speed 19.01 f/s
327610: done 402 games, mean reward -20.980, eps 0.02, speed 18.95 f/s
328434: done 403 games, mean reward -20.980, eps 0.02, speed 18.94 f/s
329196: done 404 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
329958: done 405 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
330748: done 406 games, mean reward -20.980, eps 0.02, speed 18.89 f/s
331510: done 407 games, mean reward -20.980, eps 0.02, speed 18.88 f/s
332272: done 408 games, mean reward -20.980, eps 0.02, speed 18.83 f/s
333094: done 409 games, mean reward -20.980, eps 0.02, speed 18.87 f/s
333856: done 410 games, mean reward -20.980, eps 0.02, speed 18.81 f/s
334674: done 411 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
335436: done 412 games, mean reward -20.980, eps 0.02, speed 18.84 f/s
336198: done 413 games, mean reward -20.980, eps 0.02, speed 18.85 f/s
336960: done 414 games, mean reward -20.980, eps 0.02, speed 18.90 f/s
337810: done 415 games, mean reward -20.980, eps 0.02, speed 18.84 f/s
338632: done 416 games, mean reward -20.980, eps 0.02, speed 18.81 f/s
339468: done 417 games, mean reward -20.970, eps 0.02, speed 18.86 f/s
340230: done 418 games, mean reward -20.970, eps 0.02, speed 18.79 f/s
341072: done 419 games, mean reward -20.970, eps 0.02, speed 18.86 f/s
341834: done 420 games, mean reward -20.970, eps 0.02, speed 18.75 f/s
342658: done 421 games, mean reward -20.970, eps 0.02, speed 18.73 f/s
343482: done 422 games, mean reward -20.970, eps 0.02, speed 18.86 f/s
344244: done 423 games, mean reward -20.970, eps 0.02, speed 18.80 f/s
345066: done 424 games, mean reward -20.970, eps 0.02, speed 18.93 f/s
345828: done 425 games, mean reward -20.970, eps 0.02, speed 18.92 f/s
346590: done 426 games, mean reward -20.970, eps 0.02, speed 18.88 f/s
347352: done 427 games, mean reward -20.970, eps 0.02, speed 18.71 f/s
348114: done 428 games, mean reward -20.970, eps 0.02, speed 18.83 f/s
348936: done 429 games, mean reward -20.970, eps 0.02, speed 18.76 f/s
349758: done 430 games, mean reward -20.970, eps 0.02, speed 18.73 f/s
350520: done 431 games, mean reward -20.970, eps 0.02, speed 18.82 f/s
351282: done 432 games, mean reward -20.970, eps 0.02, speed 18.72 f/s
352104: done 433 games, mean reward -20.970, eps 0.02, speed 18.70 f/s
352989: done 434 games, mean reward -20.970, eps 0.02, speed 18.76 f/s
353751: done 435 games, mean reward -20.970, eps 0.02, speed 18.85 f/s
354573: done 436 games, mean reward -20.970, eps 0.02, speed 18.83 f/s
355363: done 437 games, mean reward -20.970, eps 0.02, speed 18.78 f/s
356185: done 438 games, mean reward -20.970, eps 0.02, speed 18.77 f/s
356947: done 439 games, mean reward -20.970, eps 0.02, speed 18.66 f/s
357737: done 440 games, mean reward -20.970, eps 0.02, speed 18.69 f/s
358499: done 441 games, mean reward -20.970, eps 0.02, speed 18.78 f/s
359261: done 442 games, mean reward -20.970, eps 0.02, speed 18.78 f/s
360023: done 443 games, mean reward -20.970, eps 0.02, speed 18.82 f/s
360907: done 444 games, mean reward -20.970, eps 0.02, speed 18.77 f/s
361669: done 445 games, mean reward -20.970, eps 0.02, speed 18.74 f/s
362459: done 446 games, mean reward -20.970, eps 0.02, speed 18.83 f/s
363239: done 447 games, mean reward -20.970, eps 0.02, speed 18.76 f/s
364001: done 448 games, mean reward -20.970, eps 0.02, speed 18.76 f/s
364823: done 449 games, mean reward -20.980, eps 0.02, speed 18.79 f/s
365585: done 450 games, mean reward -20.980, eps 0.02, speed 18.78 f/s
366407: done 451 games, mean reward -20.980, eps 0.02, speed 18.78 f/s
367169: done 452 games, mean reward -20.980, eps 0.02, speed 18.83 f/s
367950: done 453 games, mean reward -20.980, eps 0.02, speed 18.81 f/s
368712: done 454 games, mean reward -20.980, eps 0.02, speed 18.60 f/s
369474: done 455 games, mean reward -20.980, eps 0.02, speed 18.68 f/s
370292: done 456 games, mean reward -20.980, eps 0.02, speed 18.70 f/s
371054: done 457 games, mean reward -20.980, eps 0.02, speed 18.74 f/s
371816: done 458 games, mean reward -20.980, eps 0.02, speed 18.72 f/s
372606: done 459 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
373456: done 460 games, mean reward -20.980, eps 0.02, speed 18.76 f/s
374278: done 461 games, mean reward -20.980, eps 0.02, speed 18.76 f/s
375100: done 462 games, mean reward -20.980, eps 0.02, speed 18.75 f/s
375862: done 463 games, mean reward -20.980, eps 0.02, speed 18.75 f/s
376713: done 464 games, mean reward -20.980, eps 0.02, speed 18.78 f/s
377536: done 465 games, mean reward -20.980, eps 0.02, speed 18.80 f/s
378358: done 466 games, mean reward -20.980, eps 0.02, speed 18.74 f/s
379182: done 467 games, mean reward -20.980, eps 0.02, speed 18.79 f/s
380006: done 468 games, mean reward -20.980, eps 0.02, speed 18.73 f/s
380768: done 469 games, mean reward -20.990, eps 0.02, speed 18.76 f/s
381576: done 470 games, mean reward -20.990, eps 0.02, speed 18.76 f/s
382338: done 471 games, mean reward -20.990, eps 0.02, speed 18.71 f/s
383100: done 472 games, mean reward -20.990, eps 0.02, speed 18.68 f/s
383862: done 473 games, mean reward -20.990, eps 0.02, speed 18.78 f/s
384624: done 474 games, mean reward -20.990, eps 0.02, speed 18.75 f/s
385474: done 475 games, mean reward -20.990, eps 0.02, speed 18.73 f/s
386236: done 476 games, mean reward -20.990, eps 0.02, speed 18.76 f/s
387058: done 477 games, mean reward -20.990, eps 0.02, speed 18.68 f/s
387820: done 478 games, mean reward -20.990, eps 0.02, speed 18.77 f/s
388582: done 479 games, mean reward -20.990, eps 0.02, speed 18.67 f/s
389344: done 480 games, mean reward -20.990, eps 0.02, speed 18.76 f/s
390134: done 481 games, mean reward -20.990, eps 0.02, speed 18.77 f/s
390956: done 482 games, mean reward -20.990, eps 0.02, speed 18.64 f/s
391776: done 483 games, mean reward -20.990, eps 0.02, speed 18.72 f/s
392538: done 484 games, mean reward -20.990, eps 0.02, speed 18.73 f/s
393374: done 485 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
394154: done 486 games, mean reward -20.980, eps 0.02, speed 18.68 f/s
394944: done 487 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
395706: done 488 games, mean reward -20.980, eps 0.02, speed 18.77 f/s
396529: done 489 games, mean reward -20.980, eps 0.02, speed 18.70 f/s
397291: done 490 games, mean reward -20.980, eps 0.02, speed 18.79 f/s
398132: done 491 games, mean reward -20.980, eps 0.02, speed 18.75 f/s
398954: done 492 games, mean reward -20.980, eps 0.02, speed 18.70 f/s
399776: done 493 games, mean reward -20.980, eps 0.02, speed 18.65 f/s
400598: done 494 games, mean reward -20.980, eps 0.02, speed 18.70 f/s
401420: done 495 games, mean reward -20.980, eps 0.02, speed 18.74 f/s
402182: done 496 games, mean reward -20.980, eps 0.02, speed 18.66 f/s
402944: done 497 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
403753: done 498 games, mean reward -20.980, eps 0.02, speed 18.69 f/s
404515: done 499 games, mean reward -20.980, eps 0.02, speed 18.68 f/s
405277: done 500 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
406039: done 501 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
406861: done 502 games, mean reward -20.980, eps 0.02, speed 18.66 f/s
407651: done 503 games, mean reward -20.980, eps 0.02, speed 18.44 f/s
408413: done 504 games, mean reward -20.980, eps 0.02, speed 18.38 f/s
409175: done 505 games, mean reward -20.980, eps 0.02, speed 18.65 f/s
409937: done 506 games, mean reward -20.980, eps 0.02, speed 18.61 f/s
410699: done 507 games, mean reward -20.980, eps 0.02, speed 18.67 f/s
411599: done 508 games, mean reward -20.970, eps 0.02, speed 18.69 f/s
412423: done 509 games, mean reward -20.970, eps 0.02, speed 18.74 f/s
413185: done 510 games, mean reward -20.970, eps 0.02, speed 18.73 f/s
414008: done 511 games, mean reward -20.970, eps 0.02, speed 18.71 f/s
414770: done 512 games, mean reward -20.970, eps 0.02, speed 18.60 f/s
415532: done 513 games, mean reward -20.970, eps 0.02, speed 18.68 f/s
